pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
Kepler-242 c,2.0,4.66,613.0,0.109,5020.0,0.85
Qatar-5 b,12.408363,1373.0256,1415.0,0.04127,5747.0,1.076
K2-348 c,2.67,7.61,655.0,,5077.0,0.85
K2-132 b,14.5717,155.7367,1586.0,0.0916,4840.0,3.85
Kepler-399 c,1.43,2.63,630.0,0.155,5502.0,0.68
KELT-15 b,19.50366,416.3573,1642.0,0.04613,6003.0,1.78
Kepler-1130 b,0.8,0.437,904.0,0.05963,5403.0,0.81
K2-290 c,11.276254,246.00042,676.0,0.305,6302.0,1.511
TOI-7008 b,4.94735276,21.7,1783.0,,5116.06,0.95255
Kepler-1367 b,0.92,0.721,998.0,0.0236,4106.0,0.6
DMPP-2 c,8.26,51.79,1910.88,0.04789,6500.0,1.78
Kepler-1716 b,2.4247685,6.46,408.0,0.18836,4894.0,0.684
TOI-1716.01,3.143,10.0,959.0,0.080496,5879.0,1.24
Kepler-1038 c,1.4162338,2.59,784.0,0.0692,5159.0,0.821
TOI-5159 b,1.54732112,3.01,866.29,,5156.16,0.854084
HD 109271 c,5.27,24.154,716.68,0.196,5783.0,1.294595
K2-202 b,2.30165603,5.91,,,5491.0,0.910685
HATS-41 b,14.90797,3082.951,1710.0,0.0583,6424.0,1.71
HD 45350 b,13.5,568.89,217.81,1.92,5566.0,1.26442
GJ 3323 b,1.23,2.02,290.06,0.03282,3159.0,0.119
Kepler-682 b,7.37,42.6,753.0,0.1058,5559.0,0.89
HD 284149 AB b,12.0,8352.53053596,2395.0,431.16,6035.0,1.36
