pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
HD 110067 f,2.601,5.04,489.0,0.2163,41.05854,-0.36224,5266.0,K0.0 V,0.788,Transit,2023,5.165,,HD 110067,6,multi_planet,0.47279216325830953,-3.9762906419569357
HD 110067 g,2.607,8.4,440.0,0.2621,54.76992,-0.36224,5266.0,K0.0 V,0.788,Transit,2023,5.666,,HD 110067,6,multi_planet,0.5558015164343277,-3.6454504306225104
TOI-178 b,1.2,0.96,1040.0,0.02607,1.9145601,-0.86646,4316.0,K,0.662,Transit,2021,1.692,,TOI-178,6,multi_planet,0.2783442985440953,-5.202237617125003
TOI-178 c,1.754,4.64,873.0,0.037,3.238486,-0.86646,4316.0,K,0.662,Transit,2021,1.95,0.00032,TOI-178,6,multi_planet,0.33553651813161955,-5.061151924841295
TOI-178 d,2.695,5.2,690.0,0.0592,6.557569,-0.86646,4316.0,K,0.662,Transit,2021,2.346,0.0068,TOI-178,6,multi_planet,0.33645881187256416,-4.774591781319035
HAT-P-57 b,19.50366,448.1403,2200.0,0.0406,2.4653,0.80618,6330.0,A8 V,1.85,Transit,2015,3.49872,0.0,HAT-P-57,1,rest,0.04328645392704977,-5.462356476264682
WD 1856+534 b,10.4,4386.054,163.0,0.0204,1.4079405,-4.12,4710.0,DC,0.0131,Transit,2020,0.1333,0.0,WD 1856+534,1,rest,0.25759836592611646,5.610942619712241
WASP-141 b,13.56289,854.9627,1540.0,0.0469,3.310651,0.31468,5900.0,F9,1.37,Transit,2016,3.6,0.0,WASP-141,1,rest,0.0967257914208989,-5.383346925511557
K2-10 b,3.773,25.2,649.0,0.137,19.30553,-0.10088,5533.0,F9,0.956,Transit,2015,3.8064,0.31,K2-10,1,rest,0.35888536397397147,-4.806276198829578
TOI-411 b,1.362,13.71,1241.0,0.05727,4.040295,0.20919,6169.0,F7/F8V,1.117,Transit,2022,3.074,0.126,HD 22946,3,rest,0.16097107098099814,-5.324480375518824
TOI-1408 c,2.22,7.6,1864.0,0.03587,2.1664,0.47129,6117.0,F8 V,1.53,Transit Timing Variations,2024,2.67,0.1353,TOI-1408,2,rest,0.13243253702957933,-5.439504752631948
